Standard_Work,Book,Chapter,Verse,Citations,Text,Chapter_Verse_Count
Pearl of Great Price,Joseph Smith—History,1,15,9,"After I had retired to the place where I had previously designed to go, having looked around me, and finding myself alone, I kneeled down and began to offer up the desires of my heart to God. I had scarcely done so, when immediately I was seized upon by some power which entirely overcame me, and had such an astonishing influence over me as to bind my tongue so that I could not speak. Thick darkness gathered around me, and it seemed to me for a time as if I were doomed to sudden destruction.",75
Book of Mormon,Moroni,10,8,9,"And again, I exhort you, my brethren, that ye deny not the gifts of God, for they are many; and they come from the same God. And there are different ways that these gifts are administered; but it is the same God who worketh all in all; and they are given by the manifestations of the Spirit of God unto men, to profit them.",34
Book of Mormon,Alma,33,23,9,"And now, my brethren, I desire that ye shall plant this word in your hearts, and as it beginneth to swell even so nourish it by your faith. And behold, it will become a tree, springing up in you unto everlasting life. And then may God grant unto you that your burdens may be light, through the joy of his Son. And even all this can ye do if ye will. Amen.",23
Book of Mormon,Moroni,5,2,9,"O God, the Eternal Father, we ask thee, in the name of thy Son, Jesus Christ, to bless and sanctify this wine to the souls of all those who drink of it, that they may do it in remembrance of the blood of thy Son, which was shed for them; that they may witness unto thee, O God, the Eternal Father, that they do always remember him, that they may have his Spirit to be with them. Amen.",2
New Testament,Mark,2,4,9,"And when they could not come nigh unto him for the press, they uncovered the roof where he was: and when they had broken it up, they let down the bed wherein the sick of the palsy lay.",28
Old Testament,Isaiah,41,10,9,"Fear thou not; for I am with thee: be not dismayed; for I am thy God: I will strengthen thee; yea, I will help thee; yea, I will uphold thee with the right hand of my righteousness.",29
Doctrine and Covenants,Doctrine and Covenants,1,35,9,"For I am no respecter of persons, and will that all men shall know that the day speedily cometh; the hour is not yet, but is nigh at hand, when peace shall be taken from the earth, and the devil shall have power over his own dominion.",39
Book of Mormon,3 Nephi,17,22,9,And when he had done this he wept again;,25
New Testament,John,6,67,9,"Then said Jesus unto the twelve, Will ye also go away?",71
New Testament,John,6,68,9,"Then Simon Peter answered him, Lord, to whom shall we go? thou hast the words of eternal life.",71
New Testament,Mark,2,3,9,"And they come unto him, bringing one sick of the palsy, which was borne of four.",28
Book of Mormon,Alma,34,18,9,"Yea, cry unto him for mercy; for he is mighty to save.",41
Doctrine and Covenants,Doctrine and Covenants,93,40,9,But I have commanded you to bring up your children in light and truth.,53
Book of Mormon,Moroni,7,29,9,"And because he hath done this, my beloved brethren, have miracles ceased? Behold I say unto you, Nay; neither have angels ceased to minister unto the children of men.",48
Old Testament,Job,38,7,9,"When the morning stars sang together, and all the sons of God shouted for joy?",41
Old Testament,Isaiah,61,2,9,"To proclaim the acceptable year of the Lord, and the day of vengeance of our God; to comfort all that mourn;",11
Doctrine and Covenants,Doctrine and Covenants,84,34,9,"They become the sons of Moses and of Aaron and the seed of Abraham, and the church and kingdom, and the elect of God.",120
Book of Mormon,Mosiah,5,13,9,"For how knoweth a man the master whom he has not served, and who is a stranger unto him, and is far from the thoughts and intents of his heart?",15
New Testament,1 Corinthians,12,27,9,"Now ye are the body of Christ, and members in particular.",31
Doctrine and Covenants,Doctrine and Covenants,138,57,9,"I beheld that the faithful elders of this dispensation, when they depart from mortal life, continue their labors in the preaching of the gospel of repentance and redemption, through the sacrifice of the Only Begotten Son of God, among those who are in darkness and under the bondage of sin in the great world of the spirits of the dead.",60
Book of Mormon,Moroni,7,4,9,"And now my brethren, I judge these things of you because of your peaceable walk with the children of men.",48
New Testament,Romans,8,37,9,"Nay, in all these things we are more than conquerors through him that loved us.",39
Doctrine and Covenants,Doctrine and Covenants,107,18,8,"The power and authority of the higher, or Melchizedek Priesthood, is to hold the keys of all the spiritual blessings of the church—",100
Doctrine and Covenants,Doctrine and Covenants,18,12,8,"And he hath risen again from the dead, that he might bring all men unto him, on conditions of repentance.",47
New Testament,Hebrews,4,15,8,"For we have not an high priest which cannot be touched with the feeling of our infirmities; but was in all points tempted like as we are, yet without sin.",16
New Testament,Ephesians,4,12,8,"For the perfecting of the saints, for the work of the ministry, for the edifying of the body of Christ:",32
New Testament,Romans,8,31,8,"What shall we then say to these things? If God be for us, who can be against us?",39
Book of Mormon,2 Nephi,26,25,8,"Behold, doth he cry unto any, saying: Depart from me? Behold, I say unto you, Nay; but he saith: Come unto me all ye ends of the earth, buy milk and honey, without money and without price.",33
Book of Mormon,1 Nephi,15,18,8,"Wherefore, our father hath not spoken of our seed alone, but also of all the house of Israel, pointing to the covenant which should be fulfilled in the latter days; which covenant the Lord made to our father Abraham, saying: In thy seed shall all the kindreds of the earth be blessed.",36
Doctrine and Covenants,Doctrine and Covenants,138,34,8,"And all other principles of the gospel that were necessary for them to know in order to qualify themselves that they might be judged according to men in the flesh, but live according to God in the spirit.",60
Doctrine and Covenants,Doctrine and Covenants,138,29,8,"And as I wondered, my eyes were opened, and my understanding quickened, and I perceived that the Lord went not in person among the wicked and the disobedient who had rejected the truth, to teach them;",60
Pearl of Great Price,Joseph Smith—History,1,25,8,"So it was with me. I had actually seen a light, and in the midst of that light I saw two Personages, and they did in reality speak to me; and though I was hated and persecuted for saying that I had seen a vision, yet it was true; and while they were persecuting me, reviling me, and speaking all manner of evil against me falsely for so saying, I was led to say in my heart: Why persecute me for telling the truth? I have actually seen a vision; and who am I that I can withstand God, or why does the world think to make me deny what I have actually seen? For I had seen a vision; I knew it, and I knew that God knew it, and I could not deny it, neither dared I do it; at least I knew that by so doing I would offend God, and come under condemnation.",75
Doctrine and Covenants,Doctrine and Covenants,76,77,8,"These are they who receive of the presence of the Son, but not of the fulness of the Father.",119
Doctrine and Covenants,Doctrine and Covenants,76,75,8,"These are they who are honorable men of the earth, who were blinded by the craftiness of men.",119
Doctrine and Covenants,Doctrine and Covenants,76,70,8,"These are they whose bodies are celestial, whose glory is that of the sun, even the glory of God, the highest of all, whose glory the sun of the firmament is written of as being typical.",119
Pearl of Great Price,Joseph Smith—History,1,10,8,"In the midst of this war of words and tumult of opinions, I often said to myself: What is to be done? Who of all these parties are right; or, are they all wrong together? If any one of them be right, which is it, and how shall I know it?",75
New Testament,Romans,8,15,8,"For ye have not received the spirit of bondage again to fear; but ye have received the Spirit of adoption, whereby we cry, Abba, Father.",39
New Testament,Matthew,5,45,8,"That ye may be the children of your Father which is in heaven: for he maketh his sun to rise on the evil and on the good, and sendeth rain on the just and on the unjust.",48
Book of Mormon,Alma,5,11,8,"Behold, I can tell you—did not my father Alma believe in the words which were delivered by the mouth of Abinadi? And was he not a holy prophet? Did he not speak the words of God, and my father Alma believe them?",62
Doctrine and Covenants,Doctrine and Covenants,20,7,8,And gave unto him commandments which inspired him;,84
Doctrine and Covenants,Doctrine and Covenants,109,2,8,Thou who hast commanded thy servants to build a house to thy name in this place [Kirtland].,80
Book of Mormon,2 Nephi,28,21,8,"And others will he pacify, and lull them away into carnal security, that they will say: All is well in Zion; yea, Zion prospereth, all is well—and thus the devil cheateth their souls, and leadeth them away carefully down to hell.",32
Doctrine and Covenants,Doctrine and Covenants,109,23,8,"And from this place they may bear exceedingly great and glorious tidings, in truth, unto the ends of the earth, that they may know that this is thy work, and that thou hast put forth thy hand, to fulfil that which thou hast spoken by the mouths of the prophets, concerning the last days.",80
Doctrine and Covenants,Doctrine and Covenants,132,20,8,"Then shall they be gods, because they have no end; therefore shall they be from everlasting to everlasting, because they continue; then shall they be above all, because all things are subject unto them. Then shall they be gods, because they have all power, and the angels are subject unto them.",66
New Testament,John,17,20,8,"Neither pray I for these alone, but for them also which shall believe on me through their word;",26
Book of Mormon,Alma,42,25,8,"What, do ye suppose that mercy can rob justice? I say unto you, Nay; not one whit. If so, God would cease to be God.",31
New Testament,John,1,9,8,"That was the true Light, which lighteth every man that cometh into the world.",51
Book of Mormon,Moroni,7,33,8,And Christ hath said: If ye will have faith in me ye shall have power to do whatsoever thing is expedient in me.,48
Book of Mormon,Moroni,7,26,8,"And after that he came men also were saved by faith in his name; and by faith, they become the sons of God. And as surely as Christ liveth he spake these words unto our fathers, saying: Whatsoever thing ye shall ask the Father in my name, which is good, in faith believing that ye shall receive, behold, it shall be done unto you.",48
Book of Mormon,Moroni,7,9,8,"And likewise also is it counted evil unto a man, if he shall pray and not with real intent of heart; yea, and it profiteth him nothing, for God receiveth none such.",48
Book of Mormon,Moroni,7,8,8,"For behold, if a man being evil giveth a gift, he doeth it grudgingly; wherefore it is counted unto him the same as if he had retained the gift; wherefore he is counted evil before God.",48
Pearl of Great Price,Abraham,3,22,8,"Now the Lord had shown unto me, Abraham, the intelligences that were organized before the world was; and among all these there were many of the noble and great ones;",28
Pearl of Great Price,Moses,6,61,8,"Therefore it is given to abide in you; the record of heaven; the Comforter; the peaceable things of immortal glory; the truth of all things; that which quickeneth all things, which maketh alive all things; that which knoweth all things, and hath all power according to wisdom, mercy, truth, justice, and judgment.",68
Doctrine and Covenants,Doctrine and Covenants,20,2,8,"Which commandments were given to Joseph Smith, Jun., who was called of God, and ordained an apostle of Jesus Christ, to be the first elder of this church;",84
Doctrine and Covenants,Doctrine and Covenants,20,1,8,"The rise of the Church of Christ in these last days, being one thousand eight hundred and thirty years since the coming of our Lord and Savior Jesus Christ in the flesh, it being regularly organized and established agreeable to the laws of our country, by the will and commandments of God, in the fourth month, and on the sixth day of the month which is called April—",84
Doctrine and Covenants,Doctrine and Covenants,109,20,8,And that no unclean thing shall be permitted to come into thy house to pollute it;,80
Doctrine and Covenants,Doctrine and Covenants,109,19,8,"And that all their salutations may be in the name of the Lord, with holy hands, uplifted to the Most High;",80
Doctrine and Covenants,Doctrine and Covenants,109,18,8,That all their outgoings from this house may be in the name of the Lord;,80
Doctrine and Covenants,Doctrine and Covenants,109,17,8,"That all the incomings of thy people, into this house, may be in the name of the Lord;",80
Doctrine and Covenants,Doctrine and Covenants,109,16,8,"And that this house may be a house of prayer, a house of fasting, a house of faith, a house of glory and of God, even thy house;",80
Doctrine and Covenants,Doctrine and Covenants,109,12,8,"That thy glory may rest down upon thy people, and upon this thy house, which we now dedicate to thee, that it may be sanctified and consecrated to be holy, and that thy holy presence may be continually in this house;",80
Book of Mormon,2 Nephi,9,11,8,"And because of the way of deliverance of our God, the Holy One of Israel, this death, of which I have spoken, which is the temporal, shall deliver up its dead; which death is the grave.",54
Doctrine and Covenants,Doctrine and Covenants,20,6,8,"But after repenting, and humbling himself sincerely, through faith, God ministered unto him by an holy angel, whose countenance was as lightning, and whose garments were pure and white above all other whiteness;",84
Doctrine and Covenants,Doctrine and Covenants,20,3,8,"And to Oliver Cowdery, who was also called of God, an apostle of Jesus Christ, to be the second elder of this church, and ordained under his hand;",84
Book of Mormon,Alma,42,12,8,"And now, there was no means to reclaim men from this fallen state, which man had brought upon himself because of his own disobedience;",31
New Testament,John,16,13,8,"Howbeit when he, the Spirit of truth, is come, he will guide you into all truth: for he shall not speak of himself; but whatsoever he shall hear, that shall he speak: and he will shew you things to come.",33
Doctrine and Covenants,Doctrine and Covenants,132,7,8,"And verily I say unto you, that the conditions of this law are these: All covenants, contracts, bonds, obligations, oaths, vows, performances, connections, associations, or expectations, that are not made and entered into and sealed by the Holy Spirit of promise, of him who is anointed, both as well for time and for all eternity, and that too most holy, by revelation and commandment through the medium of mine anointed, whom I have appointed on the earth to hold this power (and I have appointed unto my servant Joseph to hold this power in the last days, and there is never but one on the earth at a time on whom this power and the keys of this priesthood are conferred), are of no efficacy, virtue, or force in and after the resurrection from the dead; for all contracts that are not made unto this end have an end when men are dead.",66
Doctrine and Covenants,Doctrine and Covenants,76,52,8,"That by keeping the commandments they might be washed and cleansed from all their sins, and receive the Holy Spirit by the laying on of the hands of him who is ordained and sealed unto this power;",119
New Testament,1 Corinthians,15,20,8,"But now is Christ risen from the dead, and become the firstfruits of them that slept.",58
Book of Mormon,Alma,5,19,8,"I say unto you, can ye look up to God at that day with a pure heart and clean hands? I say unto you, can you look up, having the image of God engraven upon your countenances?",62
Doctrine and Covenants,Doctrine and Covenants,20,21,8,"Wherefore, the Almighty God gave his Only Begotten Son, as it is written in those scriptures which have been given of him.",84
Doctrine and Covenants,Doctrine and Covenants,20,20,8,"But by the transgression of these holy laws man became sensual and devilish, and became fallen man.",84
Book of Mormon,Mosiah,3,7,8,"And lo, he shall suffer temptations, and pain of body, hunger, thirst, and fatigue, even more than man can suffer, except it be unto death; for behold, blood cometh from every pore, so great shall be his anguish for the wickedness and the abominations of his people.",27
Book of Mormon,Jacob,5,41,8,"And it came to pass that the Lord of the vineyard wept, and said unto the servant: What could I have done more for my vineyard?",77
Doctrine and Covenants,Doctrine and Covenants,121,33,8,"How long can rolling waters remain impure? What power shall stay the heavens? As well might man stretch forth his puny arm to stop the Missouri river in its decreed course, or to turn it up stream, as to hinder the Almighty from pouring down knowledge from heaven upon the heads of the Latter-day Saints.",46
Doctrine and Covenants,Doctrine and Covenants,121,29,8,"All thrones and dominions, principalities and powers, shall be revealed and set forth upon all who have endured valiantly for the gospel of Jesus Christ.",46
Doctrine and Covenants,Doctrine and Covenants,128,22,8,"Brethren, shall we not go on in so great a cause? Go forward and not backward. Courage, brethren; and on, on to the victory! Let your hearts rejoice, and be exceedingly glad. Let the earth break forth into singing. Let the dead speak forth anthems of eternal praise to the King Immanuel, who hath ordained, before the world was, that which would enable us to redeem them out of their prison; for the prisoners shall go free.",25
Doctrine and Covenants,Doctrine and Covenants,76,59,8,"Wherefore, all things are theirs, whether life or death, or things present, or things to come, all are theirs and they are Christ’s, and Christ is God’s.",119
Book of Mormon,Moroni,7,23,8,"And God also declared unto prophets, by his own mouth, that Christ should come.",48
Book of Mormon,Moroni,7,14,8,"Wherefore, take heed, my beloved brethren, that ye do not judge that which is evil to be of God, or that which is good and of God to be of the devil.",48
Book of Mormon,Moroni,7,43,8,"And again, behold I say unto you that he cannot have faith and hope, save he shall be meek, and lowly of heart.",48
Doctrine and Covenants,Doctrine and Covenants,76,56,8,"They are they who are priests and kings, who have received of his fulness, and of his glory;",119
Doctrine and Covenants,Doctrine and Covenants,20,22,8,He suffered temptations but gave no heed unto them.,84
Book of Mormon,1 Nephi,11,23,8,"And he spake unto me, saying: Yea, and the most joyous to the soul.",36
Book of Mormon,Mosiah,3,17,8,"And moreover, I say unto you, that there shall be no other name given nor any other way nor means whereby salvation can come unto the children of men, only in and through the name of Christ, the Lord Omnipotent.",27
Doctrine and Covenants,Doctrine and Covenants,109,26,8,That no combination of wickedness shall have power to rise up and prevail over thy people upon whom thy name shall be put in this house;,80
New Testament,Mark,12,31,8,"And the second is like, namely this, Thou shalt love thy neighbour as thyself. There is none other commandment greater than these.",44
Book of Mormon,2 Nephi,4,34,8,"O Lord, I have trusted in thee, and I will trust in thee forever. I will not put my trust in the arm of flesh; for I know that cursed is he that putteth his trust in the arm of flesh. Yea, cursed is he that putteth his trust in man or maketh flesh his arm.",35
New Testament,Matthew,14,23,8,"And when he had sent the multitudes away, he went up into a mountain apart to pray: and when the evening was come, he was there alone.",36
Pearl of Great Price,Moses,6,55,8,"And the Lord spake unto Adam, saying: Inasmuch as thy children are conceived in sin, even so when they begin to grow up, sin conceiveth in their hearts, and they taste the bitter, that they may know to prize the good.",68
New Testament,John,15,5,8,"I am the vine, ye are the branches: He that abideth in me, and I in him, the same bringeth forth much fruit: for without me ye can do nothing.",27
Doctrine and Covenants,Doctrine and Covenants,93,13,8,"And he received not of the fulness at first, but continued from grace to grace, until he received a fulness;",53
Doctrine and Covenants,Doctrine and Covenants,93,12,8,"And I, John, saw that he received not of the fulness at the first, but received grace for grace;",53
Book of Mormon,Moroni,7,6,8,"For behold, God hath said a man being evil cannot do that which is good; for if he offereth a gift, or prayeth unto God, except he shall do it with real intent it profiteth him nothing.",48
Book of Mormon,Alma,30,44,8,"But Alma said unto him: Thou hast had signs enough; will ye tempt your God? Will ye say, Show unto me a sign, when ye have the testimony of all these thy brethren, and also all the holy prophets? The scriptures are laid before thee, yea, and all things denote there is a God; yea, even the earth, and all things that are upon the face of it, yea, and its motion, yea, and also all the planets which move in their regular form do witness that there is a Supreme Creator.",60
Book of Mormon,Alma,42,18,8,"Now, there was a punishment affixed, and a just law given, which brought remorse of conscience unto man.",31
Doctrine and Covenants,Doctrine and Covenants,121,43,8,"Reproving betimes with sharpness, when moved upon by the Holy Ghost; and then showing forth afterwards an increase of love toward him whom thou hast reproved, lest he esteem thee to be his enemy;",46
New Testament,John,4,29,8,"Come, see a man, which told me all things that ever I did: is not this the Christ?",54
New Testament,2 Timothy,3,4,8,"Traitors, heady, highminded, lovers of pleasures more than lovers of God;",17
New Testament,Mark,5,25,8,"And a certain woman, which had an issue of blood twelve years,",43
Doctrine and Covenants,Doctrine and Covenants,20,35,8,"And we know that these things are true and according to the revelations of John, neither adding to, nor diminishing from the prophecy of his book, the holy scriptures, or the revelations of God which shall come hereafter by the gift and power of the Holy Ghost, the voice of God, or the ministering of angels.",84
New Testament,Matthew,16,25,8,For whosoever will save his life shall lose it: and whosoever will lose his life for my sake shall find it.,28
Book of Mormon,1 Nephi,11,32,8,"And it came to pass that the angel spake unto me again, saying: Look! And I looked and beheld the Lamb of God, that he was taken by the people; yea, the Son of the everlasting God was judged of the world; and I saw and bear record.",36
Book of Mormon,1 Nephi,8,33,8,And great was the multitude that did enter into that strange building. And after they did enter into that building they did point the finger of scorn at me and those that were partaking of the fruit also; but we heeded them not.,38
New Testament,Mark,5,28,8,"For she said, If I may touch but his clothes, I shall be whole.",43
Book of Mormon,Mosiah,4,12,8,"And behold, I say unto you that if ye do this ye shall always rejoice, and be filled with the love of God, and always retain a remission of your sins; and ye shall grow in the knowledge of the glory of him that created you, or in the knowledge of that which is just and true.",30
Book of Mormon,1 Nephi,8,30,8,"But, to be short in writing, behold, he saw other multitudes pressing forward; and they came and caught hold of the end of the rod of iron; and they did press their way forward, continually holding fast to the rod of iron, until they came forth and fell down and partook of the fruit of the tree.",38
Book of Mormon,3 Nephi,9,13,8,"O all ye that are spared because ye were more righteous than they, will ye not now return unto me, and repent of your sins, and be converted, that I may heal you?",22
Book of Mormon,Alma,36,28,8,"And I know that he will raise me up at the last day, to dwell with him in glory; yea, and I will praise him forever, for he has brought our fathers out of Egypt, and he has swallowed up the Egyptians in the Red Sea; and he led them by his power into the promised land; yea, and he has delivered them out of bondage and captivity from time to time.",30
Book of Mormon,Alma,7,14,8,"Now I say unto you that ye must repent, and be born again; for the Spirit saith if ye are not born again ye cannot inherit the kingdom of heaven; therefore come and be baptized unto repentance, that ye may be washed from your sins, that ye may have faith on the Lamb of God, who taketh away the sins of the world, who is mighty to save and to cleanse from all unrighteousness.",27
New Testament,John,4,6,8,"Now Jacob’s well was there. Jesus therefore, being wearied with his journey, sat thus on the well: and it was about the sixth hour.",54
Doctrine and Covenants,Doctrine and Covenants,76,40,8,"And this is the gospel, the glad tidings, which the voice out of the heavens bore record unto us—",119
New Testament,John,15,9,8,"As the Father hath loved me, so have I loved you: continue ye in my love.",27
Book of Mormon,4 Nephi,1,12,8,"And they did not walk any more after the performances and ordinances of the law of Moses; but they did walk after the commandments which they had received from their Lord and their God, continuing in fasting and prayer, and in meeting together oft both to pray and to hear the word of the Lord.",49
Book of Mormon,Moroni,6,6,8,"And they did meet together oft to partake of bread and wine, in remembrance of the Lord Jesus.",9
Book of Mormon,Alma,33,22,8,"If so, wo shall come upon you; but if not so, then cast about your eyes and begin to believe in the Son of God, that he will come to redeem his people, and that he shall suffer and die to atone for their sins; and that he shall rise again from the dead, which shall bring to pass the resurrection, that all men shall stand before him, to be judged at the last and judgment day, according to their works.",23
Doctrine and Covenants,Doctrine and Covenants,120,1,8,"Verily, thus saith the Lord, the time is now come, that it shall be disposed of by a council, composed of the First Presidency of my Church, and of the bishop and his council, and by my high council; and by mine own voice unto them, saith the Lord. Even so. Amen.",1
Book of Mormon,2 Nephi,2,23,8,"And they would have had no children; wherefore they would have remained in a state of innocence, having no joy, for they knew no misery; doing no good, for they knew no sin.",30
New Testament,Matthew,25,5,8,"While the bridegroom tarried, they all slumbered and slept.",46
New Testament,Mark,2,11,8,"I say unto thee, Arise, and take up thy bed, and go thy way into thine house.",28
New Testament,John,8,5,8,"Now Moses in the law commanded us, that such should be stoned: but what sayest thou?",59
New Testament,John,8,4,8,"They say unto him, Master, this woman was taken in adultery, in the very act.",59
New Testament,John,8,3,8,"And the scribes and Pharisees brought unto him a woman taken in adultery; and when they had set her in the midst,",59
Doctrine and Covenants,Doctrine and Covenants,59,5,8,"Wherefore, I give unto them a commandment, saying thus: Thou shalt love the Lord thy God with all thy heart, with all thy might, mind, and strength; and in the name of Jesus Christ thou shalt serve him.",24
Book of Mormon,Alma,22,18,8,"O God, Aaron hath told me that there is a God; and if there is a God, and if thou art God, wilt thou make thyself known unto me, and I will give away all my sins to know thee, and that I may be raised from the dead, and be saved at the last day. And now when the king had said these words, he was struck as if he were dead.",35
Book of Mormon,Alma,32,35,8,"O then, is not this real? I say unto you, Yea, because it is light; and whatsoever is light, is good, because it is discernible, therefore ye must know that it is good; and now behold, after ye have tasted this light is your knowledge perfect?",43
Book of Mormon,Alma,32,34,8,"And now, behold, is your knowledge perfect? Yea, your knowledge is perfect in that thing, and your faith is dormant; and this because you know, for ye know that the word hath swelled your souls, and ye also know that it hath sprouted up, that your understanding doth begin to be enlightened, and your mind doth begin to expand.",43
Doctrine and Covenants,Doctrine and Covenants,87,8,8,"Wherefore, stand ye in holy places, and be not moved, until the day of the Lord come; for behold, it cometh quickly, saith the Lord. Amen.",8
Pearl of Great Price,Moses,5,8,8,"Wherefore, thou shalt do all that thou doest in the name of the Son, and thou shalt repent and call upon God in the name of the Son forevermore.",59
Book of Mormon,Jacob,5,61,8,"Wherefore, go to, and call servants, that we may labor diligently with our might in the vineyard, that we may prepare the way, that I may bring forth again the natural fruit, which natural fruit is good and the most precious above all other fruit.",77
Book of Mormon,1 Nephi,2,16,8,"And it came to pass that I, Nephi, being exceedingly young, nevertheless being large in stature, and also having great desires to know of the mysteries of God, wherefore, I did cry unto the Lord; and behold he did visit me, and did soften my heart that I did believe all the words which had been spoken by my father; wherefore, I did not rebel against him like unto my brothers.",24
Book of Mormon,Alma,31,38,8,"And the Lord provided for them that they should hunger not, neither should they thirst; yea, and he also gave them strength, that they should suffer no manner of afflictions, save it were swallowed up in the joy of Christ. Now this was according to the prayer of Alma; and this because he prayed in faith.",38
New Testament,Luke,10,37,8,"And he said, He that shewed mercy on him. Then said Jesus unto him, Go, and do thou likewise.",42
New Testament,Acts,10,34,8,"Then Peter opened his mouth, and said, Of a truth I perceive that God is no respecter of persons:",48
Doctrine and Covenants,Doctrine and Covenants,1,12,8,"Prepare ye, prepare ye for that which is to come, for the Lord is nigh;",39
Book of Mormon,3 Nephi,27,8,8,"And how be it my church save it be called in my name? For if a church be called in Moses’ name then it be Moses’ church; or if it be called in the name of a man then it be the church of a man; but if it be called in my name then it is my church, if it so be that they are built upon my gospel.",33
Old Testament,1 Kings,19,12,8,And after the earthquake a fire; but the Lord was not in the fire: and after the fire a still small voice.,21
New Testament,John,6,66,8,"From that time many of his disciples went back, and walked no more with him.",71
Book of Mormon,1 Nephi,8,15,8,"And it came to pass that I beckoned unto them; and I also did say unto them with a loud voice that they should come unto me, and partake of the fruit, which was desirable above all other fruit.",38
Book of Mormon,Jacob,5,70,8,"And it came to pass that the Lord of the vineyard sent his servant; and the servant went and did as the Lord had commanded him, and brought other servants; and they were few.",77
Book of Mormon,Mosiah,5,5,8,"And we are willing to enter into a covenant with our God to do his will, and to be obedient to his commandments in all things that he shall command us, all the remainder of our days, that we may not bring upon ourselves a never-ending torment, as has been spoken by the angel, that we may not drink out of the cup of the wrath of God.",15
Book of Mormon,Mosiah,15,8,8,"And thus God breaketh the bands of death, having gained the victory over death; giving the Son power to make intercession for the children of men—",31
New Testament,Luke,15,3,8,"And he spake this parable unto them, saying,",32
New Testament,Luke,10,32,8,"And likewise a Levite, when he was at the place, came and looked on him, and passed by on the other side.",42
New Testament,Luke,10,31,8,"And by chance there came down a certain priest that way: and when he saw him, he passed by on the other side.",42
New Testament,Luke,10,27,8,"And he answering said, Thou shalt love the Lord thy God with all thy heart, and with all thy soul, and with all thy strength, and with all thy mind; and thy neighbour as thyself.",42
New Testament,Luke,9,35,8,"And there came a voice out of the cloud, saying, This is my beloved Son: hear him.",62
New Testament,Luke,8,47,8,"And when the woman saw that she was not hid, she came trembling, and falling down before him, she declared unto him before all the people for what cause she had touched him, and how she was healed immediately.",56
Doctrine and Covenants,Doctrine and Covenants,76,5,8,"For thus saith the Lord—I, the Lord, am merciful and gracious unto those who fear me, and delight to honor those who serve me in righteousness and in truth unto the end.",119
Book of Mormon,Mosiah,18,13,8,"And when he had said these words, the Spirit of the Lord was upon him, and he said: Helam, I baptize thee, having authority from the Almighty God, as a testimony that ye have entered into a covenant to serve him until you are dead as to the mortal body; and may the Spirit of the Lord be poured out upon you; and may he grant unto you eternal life, through the redemption of Christ, whom he has prepared from the foundation of the world.",35
New Testament,Hebrews,5,8,8,"Though he were a Son, yet learned he obedience by the things which he suffered;",14
New Testament,1 Peter,3,15,8,But sanctify the Lord God in your hearts: and be ready always to give an answer to every man that asketh you a reason of the hope that is in you with meekness and fear:,22
Doctrine and Covenants,Doctrine and Covenants,9,8,8,"But, behold, I say unto you, that you must study it out in your mind; then you must ask me if it be right, and if it is right I will cause that your bosom shall burn within you; therefore, you shall feel that it is right.",14
Doctrine and Covenants,Doctrine and Covenants,68,6,8,"Wherefore, be of good cheer, and do not fear, for I the Lord am with you, and will stand by you; and ye shall bear record of me, even Jesus Christ, that I am the Son of the living God, that I was, that I am, and that I am to come.",35
Pearl of Great Price,Moses,1,19,8,"And now, when Moses had said these words, Satan cried with a loud voice, and ranted upon the earth, and commanded, saying: I am the Only Begotten, worship me.",42
Doctrine and Covenants,Doctrine and Covenants,88,118,8,"And as all have not faith, seek ye diligently and teach one another words of wisdom; yea, seek ye out of the best books words of wisdom; seek learning, even by study and also by faith.",141
Book of Mormon,Mosiah,16,8,8,"But there is a resurrection, therefore the grave hath no victory, and the sting of death is swallowed up in Christ.",15
Doctrine and Covenants,Doctrine and Covenants,90,24,8,"Search diligently, pray always, and be believing, and all things shall work together for your good, if ye walk uprightly and remember the covenant wherewith ye have covenanted one with another.",37
New Testament,James,1,22,8,"But be ye doers of the word, and not hearers only, deceiving your own selves.",27
New Testament,2 Corinthians,12,8,8,"For this thing I besought the Lord thrice, that it might depart from me.",21
Book of Mormon,Alma,36,15,8,"Oh, thought I, that I could be banished and become extinct both soul and body, that I might not be brought to stand in the presence of my God, to be judged of my deeds.",30
Book of Mormon,Alma,36,14,8,"Yea, and I had murdered many of his children, or rather led them away unto destruction; yea, and in fine so great had been my iniquities, that the very thought of coming into the presence of my God did rack my soul with inexpressible horror.",30
Doctrine and Covenants,Doctrine and Covenants,84,43,8,"And I now give unto you a commandment to beware concerning yourselves, to give diligent heed to the words of eternal life.",120
Book of Mormon,3 Nephi,17,6,8,"And he said unto them: Behold, my bowels are filled with compassion towards you.",25
New Testament,Luke,24,32,8,"And they said one to another, Did not our heart burn within us, while he talked with us by the way, and while he opened to us the scriptures?",53
New Testament,Matthew,25,45,8,"Then shall he answer them, saying, Verily I say unto you, Inasmuch as ye did it not to one of the least of these, ye did it not to me.",46
New Testament,Matthew,25,44,8,"Then shall they also answer him, saying, Lord, when saw we thee an hungred, or athirst, or a stranger, or naked, or sick, or in prison, and did not minister unto thee?",46
Pearl of Great Price,Moses,1,11,8,"But now mine own eyes have beheld God; but not my natural, but my spiritual eyes, for my natural eyes could not have beheld; for I should have withered and died in his presence; but his glory was upon me; and I beheld his face, for I was transfigured before him.",42
New Testament,Matthew,25,43,8,"I was a stranger, and ye took me not in: naked, and ye clothed me not: sick, and in prison, and ye visited me not.",46
